day,lang,part,complete
1,R,1,TRUE
1,R,2,TRUE
1,C,1,TRUE
1,C,2,TRUE
2,R,1,TRUE
2,R,2,TRUE
2,C,1,TRUE
2,C,2,TRUE
3,R,1,TRUE
3,R,2,TRUE
3,C,1,TRUE
3,C,2,TRUE
4,R,1,TRUE
4,R,2,TRUE
4,C,1,TRUE
4,C,2,TRUE
5,R,1,TRUE
5,R,2,TRUE
5,C,1,TRUE
5,C,2,TRUE
6,R,1,TRUE
6,R,2,TRUE
6,C,1,TRUE
6,C,2,TRUE
7,R,1,TRUE
7,R,2,TRUE
7,C,1,FALSE
7,C,2,FALSE
8,R,1,TRUE
8,R,2,TRUE
8,C,1,FALSE
8,C,2,FALSE
9,R,1,TRUE
9,R,2,TRUE
9,C,1,FALSE
9,C,2,FALSE
10,R,1,TRUE
10,R,2,TRUE
10,C,1,TRUE
10,C,2,TRUE
11,R,1,TRUE
11,R,2,TRUE
11,C,1,FALSE
11,C,2,FALSE
12,R,1,TRUE
12,R,2,TRUE
12,C,1,FALSE
12,C,2,FALSE
13,R,1,TRUE
13,R,2,TRUE
13,C,1,FALSE
13,C,2,FALSE
14,R,1,FALSE
14,R,2,FALSE
14,C,1,FALSE
14,C,2,FALSE
15,R,1,FALSE
15,R,2,FALSE
15,C,1,FALSE
15,C,2,FALSE
16,R,1,TRUE
16,R,2,TRUE
16,C,1,TRUE
16,C,2,TRUE
17,R,1,TRUE
17,R,2,TRUE
17,C,1,FALSE
17,C,2,FALSE
18,R,1,FALSE
18,R,2,FALSE
18,C,1,FALSE
18,C,2,FALSE
19,R,1,FALSE
19,R,2,FALSE
19,C,1,FALSE
19,C,2,FALSE
20,R,1,TRUE
20,R,2,TRUE
20,C,1,FALSE
20,C,2,FALSE
21,R,1,FALSE
21,R,2,FALSE
21,C,1,FALSE
21,C,2,FALSE
22,R,1,FALSE
22,R,2,FALSE
22,C,1,FALSE
22,C,2,FALSE
23,R,1,FALSE
23,R,2,FALSE
23,C,1,FALSE
23,C,2,FALSE
24,R,1,FALSE
24,R,2,FALSE
24,C,1,FALSE
24,C,2,FALSE
25,R,1,FALSE
25,R,2,FALSE
25,C,1,FALSE
25,C,2,FALSE
